品类,规格,子品牌,SKU,实际,目标15,目标15占,目标H2,达成,标价,实价,价差,销量
生抽,40ML,轻,40ML欣和·轻10克轻盐特级原汁酱油/,0.0,11000.0,0.04,16000.0,0.0,,,—,0.0
生抽,40ML,轻,40ML欣和·轻8克轻盐特级原汁酱油/尝,0.0,23000.0,0.07,32000.0,0.0,,,—,0.0
生抽,100ML,轻,100ML欣和·轻8克轻盐特级原汁酱油,0.0,23000.0,0.07,32000.0,0.0,9.9,,—,0.0
生抽,160ML,遵循自然,160ML遵循自然0添加特级原汁生抽,0.0,70000.0,0.22,98000.0,0.0,,,—,0.0
生抽,160ML,遵循自然,160ML遵循自然0添加特级轻盐生抽,0.0,769000.0,2.43,183000.0,0.0,5.4,,—,0.0
生抽,160ML,遵循自然,160ML遵循自然0添加轻盐生抽,0.0,14000.0,0.04,20000.0,0.0,4.0,,—,0.0
生抽,280ML,轻,280ML轻8克轻盐原汁酱油（特级）/2,8000.0,,,,,16.9,14.9,-12%,600.0
生抽,280ML,轻,280ML轻10克轻盐原汁生抽（特级）/,2000.0,,,,,15.9,12.8,-19%,100.0
生抽,280ML,轻,280ML•轻8克轻盐特级原汁酱油,0.0,70000.0,0.22,98000.0,0.0,16.9,,—,0.0
生抽,280ML,轻,280ML·轻10克轻盐特级原汁生抽,0.0,47000.0,0.15,43000.0,0.0,15.9,,—,0.0
生抽,375ML,遵循自然,375ML零添加生抽,0.0,14000.0,0.04,20000.0,0.0,11.9,,—,0.0
生抽,375ML,遵循自然,375ML零添加生抽/赠品装,0.0,14000.0,0.04,20000.0,0.0,11.9,,—,0.0
生抽,500ML,轻,500ML轻8克轻盐原汁酱油（特级）/2,587000.0,717000.0,2.27,863000.0,82.0,26.9,22.1,-18%,26600.0
生抽,500ML,遵循自然,500ML遵循自然0添加特级轻盐生抽,909000.0,898000.0,2.84,1235000.0,101.0,15.8,13.4,-15%,67900.0
生抽,500ML,轻,500ML轻10克轻盐原汁生抽（特级）/,164000.0,102000.0,0.32,122000.0,161.0,24.9,21.4,-14%,7600.0
生抽,500ML,遵循自然,500ML遵循自然0添加轻盐生抽,0.0,0.0,0.0,0.0,0.0,11.5,,—,0.0
生抽,500ML,轻,500ML·轻8克轻盐特级原汁酱油,0.0,430000.0,1.36,593000.0,0.0,26.9,,—,0.0
生抽,500ML,轻,500ML·轻10克轻盐特级原汁生抽,0.0,295000.0,0.93,234000.0,0.0,24.9,,—,0.0
生抽,880ML,遵循自然,880ML零添加生抽/空白码,0.0,14000.0,0.04,20000.0,0.0,17.4,,—,0.0
生抽,1L,遵循自然,1L遵循自然0添加轻盐生抽,0.0,0.0,0.0,0.0,0.0,19.5,,—,0.0
生抽,1L,遵循自然,1L遵循自然0添加特级轻盐生抽,0.0,79000.0,0.25,110000.0,0.0,26.8,,—,0.0
生抽,1.3L,遵循自然,1.3L遵循自然0添加特级轻盐生抽,1385000.0,1451000.0,4.59,1983000.0,95.0,30.8,22.7,-26%,61000.0
生抽,1.3L,遵循自然,1.3L遵循自然0添加轻盐生抽,0.0,0.0,0.0,0.0,0.0,22.5,,—,0.0
生抽,1.55KG,遵循自然,1.55KG零添加生抽,0.0,14000.0,0.04,20000.0,0.0,,,—,0.0
生抽,1.8L,遵循自然,1.8L遵循自然0添加特级轻盐生抽,1446000.0,1269000.0,4.02,1807000.0,114.0,35.9,29.8,-17%,48500.0
生抽,1.8L,遵循自然,1.8L遵循自然0添加轻盐生抽,0.0,0.0,0.0,0.0,0.0,27.0,,—,0.0
红烧,40ML,轻,40ML轻12克轻盐特级蜂蜜红烧酱油赠品,0.0,7000.0,0.02,9000.0,0.0,,,—,0.0
红烧,100ML,轻,100ML轻12克轻盐特级蜂蜜红烧酱油,0.0,7000.0,0.02,10000.0,0.0,7.0,,—,0.0
红烧,160ML,经典,160ML红烧酱油/大众(W1),0.0,38000.0,0.12,53000.0,0.0,5.4,,—,0.0
红烧,160ML,遵循自然,160ML遵循自然0添加红烧老抽,0.0,9000.0,0.03,13000.0,0.0,4.0,,—,0.0
红烧,160ML,经典,160ML红烧酱油/上海(W1),0.0,38000.0,0.12,53000.0,0.0,5.4,,—,0.0
红烧,160ML,遵循自然,160ML遵循自然0添加特级红烧老抽,0.0,20000.0,0.06,28000.0,0.0,5.4,,—,0.0
红烧,280ML,轻,280ML轻12克轻盐特级蜂蜜红烧酱油,0.0,7000.0,0.02,9000.0,0.0,13.9,,—,0.0
红烧,375ML,经典,375ML红烧酱油/大众,0.0,38000.0,0.12,53000.0,0.0,11.9,,—,0.0
红烧,500ML,经典,500ML红烧酱油/上海/W2,1031000.0,841000.0,2.66,1138000.0,123.0,15.8,13.5,-14%,76200.0
红烧,500ML,轻,500ML轻12克轻盐特级蜂蜜红烧酱油,238000.0,214000.0,0.68,303000.0,111.0,22.9,19.4,-15%,12300.0
红烧,500ML,遵循自然,500ML遵循自然0添加特级红烧老抽,771000.0,565000.0,1.79,758000.0,136.0,16.8,14.7,-13%,52500.0
红烧,500ML,经典,500ML红烧酱油/大众/W2,31000.0,81000.0,0.26,100000.0,39.0,15.8,14.0,-12%,2200.0
红烧,500ML,遵循自然,500ML遵循自然0添加红烧老抽,0.0,9000.0,0.03,13000.0,0.0,11.5,,—,0.0
红烧,500ML,遵循自然,500ML零添加特级鲜红烧酱油,0.0,2000.0,0.01,2000.0,0.0,16.8,,—,0.0
红烧,880ML,经典,880ML上海红烧酱油/空白码,2642000.0,2259000.0,7.15,3032000.0,117.0,17.4,13.0,-25%,203700.0
红烧,890ML,经典,890ML上海红烧/苏果特供装,0.0,38000.0,0.12,53000.0,0.0,21.9,,—,0.0
红烧,890ML,遵循自然,890ML遵循自然0添加特级红烧老抽,0.0,20000.0,0.06,28000.0,0.0,,,—,0.0
红烧,1L,经典,1L红烧酱油/大众,2000.0,43000.0,0.14,59000.0,5.0,26.8,23.9,-11%,100.0
红烧,1L,遵循自然,1L遵循自然0添加特级红烧老抽,0.0,20000.0,0.06,28000.0,0.0,29.8,,—,0.0
红烧,1L,经典,1L红烧酱油/上海1×12,0.0,104000.0,0.33,145000.0,0.0,26.8,28.1,+5%,0.0
红烧,1L,遵循自然,1L遵循自然0添加红烧老抽,0.0,9000.0,0.03,13000.0,0.0,19.5,,—,0.0
红烧,1.1KG,遵循自然,1.1KG遵循自然0添加特级红烧老抽,0.0,20000.0,0.06,28000.0,0.0,25.9,,—,0.0
红烧,1.22KG,经典,1.22KG特级原酿红烧酱油,0.0,38000.0,0.12,53000.0,0.0,,,—,0.0
红烧,1.28L,经典,1.28L上海红烧酱油,0.0,38000.0,0.12,53000.0,0.0,26.8,,—,0.0
